Product_Name,Date Range,Mean_coherence
Mean_subset_2_coh_HH_20Dec2023_31Dec2023,20Dec2023_31Dec2023,0.23546841034206215
Mean_subset_2_coh_HH_22Dec2023_02Jan2024,22Dec2023_02Jan2024,0.30467380607107714
Mean_subset_2_coh_HH_30Dec2023_10Jan2024,30Dec2023_10Jan2024,0.22954690127374006
Mean_subset_2_coh_HH_02Jan2024_13Jan2024,02Jan2024_13Jan2024,0.4384710168660131
Mean_subset_2_coh_HH_12Feb2024_23Feb2024,12Feb2024_23Feb2024,0.2894707913287188
Mean_subset_2_coh_HH_15Feb2024_26Feb2024,15Feb2024_26Feb2024,0.2770705729847453
Mean_subset_2_coh_HH_22Feb2024_04Mar2024,22Feb2024_04Mar2024,0.38070861447837595
Mean_subset_2_coh_HH_06Apr2024_17Apr2024,06Apr2024_17Apr2024,0.39759768048820626
Mean_subset_2_coh_HH_07Apr2024_29Apr2024,07Apr2024_29Apr2024,0.4324721084272851
Mean_subset_2_coh_HH_09May2024_20May2024,09May2024_20May2024,0.6228709218147549
Mean_subset_2_coh_HH_10May2024_21May2024,10May2024_21May2024,0.5909875668724504
Mean_subset_2_coh_HH_28Mar2024_22May2024,28Mar2024_22May2024,0.38069038651391157
