Product_Name,Date Range,Mean_coherence
Mean_subset_1_coh_HH_20Dec2023_31Dec2023,20Dec2023_31Dec2023,0.15897089416781413
Mean_subset_1_coh_HH_22Dec2023_02Jan2024,22Dec2023_02Jan2024,0.25837384442585115
Mean_subset_1_coh_HH_30Dec2023_10Jan2024,30Dec2023_10Jan2024,0.36650949487986273
Mean_subset_1_coh_HH_02Jan2024_13Jan2024,02Jan2024_13Jan2024,0.43582250977364867
Mean_subset_1_coh_HH_20Jan2024_31Jan2024,20Jan2024_31Jan2024,0.3792870676747826
Mean_subset_1_coh_HH_12Feb2024_23Feb2024,12Feb2024_23Feb2024,0.36443005703971226
Mean_subset_1_coh_HH_15Feb2024_26Feb2024,15Feb2024_26Feb2024,0.3371934134240069
Mean_subset_1_coh_HH_22Feb2024_04Mar2024,22Feb2024_04Mar2024,0.6504815424421642
Mean_subset_1_coh_HH_19Mar2024_30Mar2024,19Mar2024_30Mar2024,0.33466048866037734
Mean_subset_1_coh_HH_06Apr2024_17Apr2024,06Apr2024_17Apr2024,0.6931736904825582
Mean_subset_1_coh_HH_07Apr2024_29Apr2024,07Apr2024_29Apr2024,0.6980400289410749
Mean_subset_1_coh_HH_10Apr2024_13May2024,10Apr2024_13May2024,0.6557419582299512
Mean_subset_1_coh_HH_09May2024_20May2024,09May2024_20May2024,0.8451062796827197
Mean_subset_1_coh_HH_10May2024_21May2024,10May2024_21May2024,0.7930480202022793
Mean_subset_1_coh_HH_28Mar2024_22May2024,28Mar2024_22May2024,0.42907710158848794
Mean_subset_1_coh_HH_13May2024_24May2024,13May2024_24May2024,0.49202763710253455
Mean_subset_1_coh_HH_04Jun2024_07Jul2024,04Jun2024_07Jul2024,0.47433602736851205
Mean_subset_1_coh_HH_18Jul2024_09Aug2024,18Jul2024_09Aug2024,0.5205346457856938
